cd_cidade;cidade;nome;favorabilidade;importancia;classificacaoAtor;tipoDocumento;tipoAtor;apelido
1300201;Atalaia do Norte;Câmara Municipal de Atalaia do Norte;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Atalaia do Norte
1300300;Autazes;Câmara Municipal de Autazes;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Autazes
1300409;Barcelos;Câmara Municipal de Barcelos;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Barcelos
1300508;Barreirinha;Câmara Municipal de Barreirinha;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Barreirinha
1300607;Benjamin Constant;Câmara Municipal de Benjamin Constant;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Benjamin Constant
1300631;Beruri;Câmara Municipal de Beruri;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Beruri
1300680;Boa Vista do Ramos;Câmara Municipal de Boa Vista do Ramos;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Boa Vista do Ramos
1300706;Boca do Acre;Câmara Municipal de Boca do Acre;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Boca do Acre
1300805;Borba;Câmara Municipal de Borba;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Borba
1300839;Caapiranga;Câmara Municipal de Caapiranga;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Caapiranga
1300904;Canutama;Câmara Municipal de Canutama;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Canutama
1301001;Carauari;Câmara Municipal de Carauari;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Carauari
1301100;Careiro;Câmara Municipal de Careiro;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Careiro
1301159;Careiro da Várzea;Câmara Municipal de Careiro da Várzea;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Careiro da Várzea
1301209;Coari;Câmara Municipal de Coari;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Coari
1301308;Codajás;Câmara Municipal de Codajás;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Codajás
1301407;Eirunepé;Câmara Municipal de Eirunepé;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Eirunepé
1301506;Envira;Câmara Municipal de Envira;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Envira
1301605;Fonte Boa;Câmara Municipal de Fonte Boa;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Fonte Boa
