cd_cidade;cidade;nome;favorabilidade;importancia;classificacaoAtor;tipoDocumento;tipoAtor;apelido
1302207;Juruá;Prefeitura de Juruá;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Juruá
1302306;Jutaí;Prefeitura de Jutaí;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Jutaí
1302405;Lábrea;Prefeitura de Lábrea;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Lábrea
1302504;Manacapuru;Prefeitura de Manacapuru;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Manacapuru
1302553;Manaquiri;Prefeitura de Manaquiri;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Manaquiri
1302603;Manaus;Prefeitura de Manaus;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Manaus
1302702;Manicoré;Prefeitura de Manicoré;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Manicoré
1302801;Maraã;Prefeitura de Maraã;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Maraã
1302900;Maués;Prefeitura de Maués;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Maués
1303007;Nhamundá;Prefeitura de Nhamundá;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Nhamundá
1303106;Nova Olinda do Norte;Prefeitura de Nova Olinda do Norte;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Nova Olinda do Norte
1303205;Novo Airão;Prefeitura de Novo Airão;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Novo Airão
1303304;Novo Aripuanã;Prefeitura de Novo Aripuanã;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Novo Aripuanã
1303403;Parintins;Prefeitura de Parintins;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Parintins
